
2024/11/04 (10:38:23) | ===> btop++ v.1.3.0
2024/11/04 (10:38:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/04 (13:41:33) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/11/04 (13:41:40) | ===> btop++ v.1.3.0
2024/11/04 (13:41:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/04 (14:12:46) | ===> btop++ v.1.3.0
2024/11/04 (14:12:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/05 (11:38:28) | ===> btop++ v.1.3.0
2024/11/05 (11:38:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/05 (13:53:26) | ===> btop++ v.1.3.0
2024/11/05 (13:53:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/07 (14:28:58) | ===> btop++ v.1.3.0
2024/11/07 (14:28:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/11 (08:50:31) | ===> btop++ v.1.3.0
2024/11/11 (08:50:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (08:50:33) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/11/11 (08:50:34) | ===> btop++ v.1.3.0
2024/11/11 (08:50:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/12 (09:10:33) | ===> btop++ v.1.3.0
2024/11/12 (09:10:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/13 (08:49:25) | ===> btop++ v.1.3.0
2024/11/13 (08:49:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/14 (13:41:05) | ===> btop++ v.1.3.0
2024/11/14 (13:41:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/18 (09:08:32) | ===> btop++ v.1.3.0
2024/11/18 (09:08:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/18 (15:46:11) | ===> btop++ v.1.3.0
2024/11/18 (15:46:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (15:46:19) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/11/19 (09:16:53) | ===> btop++ v.1.3.0
2024/11/19 (09:16:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/19 (11:30:29) | ===> btop++ v.1.3.0
2024/11/19 (11:30:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/19 (11:33:08) | ===> btop++ v.1.3.0
2024/11/19 (11:33:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/19 (13:26:54) | ===> btop++ v.1.3.0
2024/11/19 (13:26:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/19 (14:02:25) | ===> btop++ v.1.3.0
2024/11/19 (14:02:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
